,title,genre,year,decade,runtime,rating,director,actor1,actor2,actor3,gross
3902,The Mask of Zorro,"Action,Adventure,Comedy,Romance,Thriller,Western",1998,1990,136,6.7,Martin Campbell,Anthony Hopkins,Tony Amendola,Stuart Wilson,93.77
3903,The Masked Saint,"Action,Biography,Crime,Drama,Family,Fantasy",2016,2010,105,4.7,Warren P. Sonoda,Diahann Carroll,Mykel Shannon Jenkins,Lara Jean Chorostecki,0.12
3904,The Master,Drama,2012,2010,144,7.1,Paul Thomas Anderson,Philip Seymour Hoffman, Joaquin Phoenix,Amy Adams,16.38
3905,The Master of Disguise,"Comedy,Family",2002,2000,80,3.3,Perry Andelin Blake,Jennifer Esposito,Kenan Thompson,James Brolin,40.36
3906,The Matador,"Comedy,Crime,Drama,Thriller",2005,2000,96,6.8,Richard Shepard,Adam Scott,Philip Baker Hall,Hope Davis,12.57
3907,The Matrix,"Action,Sci-Fi",1999,1990,136,8.7,Lana Wachowski,Keanu Reeves,Marcus Chong,Gloria Foster,171.38
3908,The Matrix Reloaded,"Action,Sci-Fi",2003,2000,138,7.2,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,281.49
3909,The Matrix Revolutions,"Action,Sci-Fi",2003,2000,129,6.7,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,139.26
3910,The Maze Runner,"Action,Mystery,Sci-Fi",2014,2010,113,6.8,Wes Ball,Dylan O'Brien, Kaya Scodelario, Will Poulter,102.41
3911,The Mechanic,"Action,Crime,Thriller",2011,2010,93,6.6,Simon West,Jason Statham,Tony Goldwyn,Mini Anden,29.11
3912,The Medallion,"Action,Comedy,Fantasy",2003,2000,108,5.2,Gordon Chan,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,22.11
3913,The Men Who Stare at Goats,"Comedy,War",2009,2000,94,6.2,Grant Heslov,Kevin Spacey,Jeff Bridges,Stephen Root,32.42
3914,The Merchant of Venice,"Drama,Romance",2004,2000,131,7.1,Michael Radford,Al Pacino,Mackenzie Crook,Kris Marshall,3.75
3915,The Messenger,"Drama,Romance,War",2009,2000,105,7.2,Oren Moverman,Steve Buscemi,Yaya DaCosta,Eamonn Walker,0.07
3916,The Messenger: The Story of Joan of Arc,"Adventure,Biography,Drama,History,War",1999,1990,158,6.4,Luc Besson,Paul Brooke,David Bailie,Rab Affleck,14.13
3917,The Mexican,"Adventure,Comedy,Crime,Romance",2001,2000,123,6.1,Gore Verbinski,J.K. Simmons,Brad Pitt,Julia Roberts,66.81
3918,The Midnight Meat Train,"Horror,Mystery",2008,2000,98,6.1,Ryûhei Kitamura,Vinnie Jones, Bradley Cooper, Leslie Bibb,0.07
3919,The Mighty,"Comedy,Drama",1998,1990,100,7.3,Peter Chelsom,Kieran Culkin,Elden Henson,Gena Rowlands,2.64
3920,The Mighty Ducks,"Comedy,Drama,Family,Sport",1992,1990,100,6.4,Stephen Herek,Lane Smith,Shaun Weiss,Elden Henson,50.75
3921,The Mighty Macs,"Drama,Sport",2009,2000,99,6.5,Tim Chambers,Ellen Burstyn,Marley Shelton,Jennifer Butler,1.89
3922,The Mirror Has Two Faces,"Comedy,Drama,Romance",1996,1990,122,6.5,Barbra Streisand,Jeff Bridges,Austin Pendleton,Mimi Rogers,41.25
3923,The Missing Person,Drama,2009,2000,95,6.2,Noah Buschel,Merritt Wever,Amy Ryan,Paul Adelstein,0.02
3924,The Mist,Horror,2007,2000,126,7.2,Frank Darabont,Thomas Jane, Marcia Gay Harden, Laurie Holden,25.59
3925,The Mod Squad,Drama,1999,1990,92,4.1,Scott Silver,Claire Danes,Giovanni Ribisi,Omar Epps,
3926,The Monuments Men,"Drama,War",2014,2010,118,6.1,George Clooney,Bill Murray,Matt Damon,Bob Balaban,78.03
3927,The Mortal Instruments: City of Bones,"Action,Fantasy,Horror",2013,2010,130,5.9,Harald Zwart,Lily Collins, Jamie Campbell Bower, Robert Sheehan,31.17
3928,The Motel,"Comedy,Drama",2005,2000,75,6.8,Michael Kang,Samantha Futerman,Clint Jordan,Jackie Nova,0.05
3929,The Mother,Drama,2004,2000,112,6.9,Roger Michell,Anne Reid,Daniel Craig,Cathryn Bradshaw,
3930,The Mothman Prophecies,"Drama,Horror,Mystery,Thriller",2002,2000,119,6.5,Mark Pellington,Debra Messing,Will Patton,David Eigenberg,35.23
3931,The Mummy Returns,"Action,Adventure,Fantasy,Thriller",2001,2000,130,6.3,Stephen Sommers,Dwayne Johnson,Brendan Fraser,Patricia Velasquez,202.01
3932,The Mummy: Tomb of the Dragon Emperor,"Action,Adventure,Fantasy",2008,2000,112,5.2,Rob Cohen,Brendan Fraser, Jet Li, Maria Bello,102.18
3933,The Muppet Christmas Carol,"Comedy,Drama,Family,Fantasy,Musical",1992,1990,89,7.7,Brian Henson,Steven Mackintosh,Jerry Nelson,Steve Whitmire,27.28
3934,The Muppet Movie,"Adventure,Comedy,Family,Musical",1979,1970,95,7.7,James Frawley,Madeline Kahn,Jim Henson,Dom DeLuise,76.66
3935,The Muppets,"Adventure,Comedy,Family,Musical",2011,2010,103,7.1,James Bobin,Bill Cobbs,Eric Jacobson,Steve Whitmire,88.63
3936,The Muse,Comedy,1999,1990,97,5.6,Albert Brooks,Jeff Bridges,Bradley Whitford,Albert Brooks,11.61
3937,The Musketeer,"Action,Adventure,Romance",2001,2000,104,4.7,Peter Hyams,Catherine Deneuve,Justin Chambers,Stephen Rea,27.05
3938,The Naked Gun 2½: The Smell of Fear,"Comedy,Crime",1991,1990,85,6.8,David Zucker,George Kennedy,Priscilla Presley,O.J. Simpson,86.93
3939,The Names of Love,"Comedy,Drama,Romance",2010,2010,100,7.2,Michel Leclerc,Sara Forestier,Jacques Gamblin,Zinedine Soualem,0.51
3940,The Namesake,Drama,2006,2000,122,7.6,Mira Nair,Jacinda Barrett,Brooke Smith,Tabu,13.57
3941,The Nativity Story,"Drama,Family,Fantasy",2006,2000,101,6.8,Catherine Hardwicke,Keisha Castle-Hughes,Hiam Abbass,Shaun Toub,37.62
3942,The Negotiator,"Action,Crime,Drama,Mystery,Thriller",1998,1990,140,7.3,F. Gary Gray,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,44.48
3943,The Neon Demon,"Horror,Thriller",2016,2010,118,6.2,Nicolas Winding Refn,Elle Fanning, Christina Hendricks, Keanu Reeves,1.33
3944,The Net,"Action,Crime,Drama,Mystery,Thriller",1995,1990,114,5.8,Irwin Winkler,Ken Howard,Jeremy Northam,Ray McKinnon,50.73
3945,The New Guy,Comedy,2002,2000,92,5.9,Ed Decter,Zooey Deschanel,Eddie Griffin,Gene Simmons,28.97
3946,The New World,"Biography,Drama,History,Romance",2005,2000,150,6.7,Terrence Malick,Christian Bale,Michael Greyeyes,Wes Studi,12.71
3947,The Newton Boys,"Action,Crime,Drama,History,Western",1998,1990,123,6.0,Richard Linklater,Matthew McConaughey,Lew Temple,Dwight Yoakam,10.3
3948,The Next Best Thing,"Comedy,Drama,Romance",2000,2000,99,4.7,John Schlesinger,Mark Valley,Rupert Everett,Illeana Douglas,14.98
3949,The Next Three Days,"Crime,Drama,Romance,Thriller",2010,2010,133,7.4,Paul Haggis,Olivia Wilde,Daniel Stern,Aisha Hinds,21.13
3950,The Nice Guys,"Action,Comedy,Crime",2016,2010,116,7.4,Shane Black,Russell Crowe, Ryan Gosling, Angourie Rice,36.25
3951,The Night Listener,"Crime,Mystery,Thriller",2006,2000,81,5.9,Patrick Stettner,Robin Williams,Joe Morton,Rory Culkin,7.83
3952,"The Ninth Configuration (Twinkle, Twinkle, Killer Kane)",Drama,1980,1980,118,7.2,William Peter Blatty,Stacy Keach,Scott Wilson,Jason Miller,
3953,The Ninth Gate,"Mystery,Thriller",1999,1990,133,6.7,Roman Polanski,Johnny Depp,Frank Langella,Lena Olin,18.65
3954,The Notebook,"Drama,Romance",2004,2000,123,7.9,Nick Cassavetes,Ryan Gosling,Kevin Connolly,Gena Rowlands,0.06
3955,The November Man,"Action,Crime,Thriller",2014,2010,108,6.3,Roger Donaldson,Luke Bracey,Akie Kotabe,Will Patton,24.98
3956,The Number 23,"Mystery,Thriller",2007,2000,98,6.4,Joel Schumacher,Logan Lerman,Virginia Madsen,Ed Lauter,35.06
3957,The Nut Job,"Adventure,Animation,Comedy,Family",2014,2010,85,5.8,Peter Lepeniotis,Liam Neeson,Brendan Fraser,Sarah Gadon,64.24
3958,The Nutcracker,"Family,Fantasy,Music",1993,1990,92,5.7,Emile Ardolino,Darci Kistler,Kyra Nichols,Margaret Tracey,2.12
3959,The Nutcracker in 3D,"Action,Family,Fantasy,Musical",2010,2010,110,4.4,Andrey Konchalovskiy,Shirley Henderson,Nathan Lane,Richard E. Grant,0.19
3960,The Nutty Professor,"Comedy,Romance,Sci-Fi",1996,1990,95,5.6,Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,128.77
3961,The Object of My Affection,"Comedy,Drama,Romance",1998,1990,111,6.0,Nicholas Hytner,Liam Aiken,Tim Daly,Kali Rocha,29.11
3962,The Odd Life of Timothy Green,"Comedy,Drama,Family,Fantasy",2012,2010,105,6.6,Peter Hedges,Jennifer Garner,Odeya Rush,Common,51.85
3963,The Omega Code,"Action,Adventure,Fantasy,Sci-Fi,Thriller",1999,1990,100,3.5,Robert Marcarelli,George Coe,William Hootkins,Ayla Kell,12.61
3964,The Omen,"Mystery,Suspense",2006,2000,110,5.5,John Moore,Julia Stiles,Liev Schreiber,Mia Farrow,
3965,The One,"Action,Sci-Fi,Thriller",2001,2000,85,5.9,James Wong,Jason Statham,Jet Li,Delroy Lindo,43.91
3966,The Oogieloves in the Big Balloon Adventure,"Adventure,Family,Fantasy,Musical",2012,2010,88,6.7,Matthew Diamond,Chazz Palminteri,Garrett Clayton,Toni Braxton,1.06
3967,The Open Road,"Comedy,Drama",2009,2000,91,5.5,Michael Meredith,Jeff Bridges,Justin Timberlake,Ted Danson,0.02
3968,The Order,"Action,Mystery,Thriller",2003,2000,102,5.1,Brian Helgeland,Heath Ledger,Mark Addy,Benno Fürmann,7.66
3969,The Original Kings of Comedy,"Comedy,Documentary",2000,2000,115,6.6,Spike Lee,Bernie Mac,Cedric the Entertainer,Steve Harvey,38.17
3970,The Orphanage,"Drama,Mystery,Thriller",2007,2000,105,7.5,J.A. Bayona,Geraldine Chaplin,Belén Rueda,Fernando Cayo,7.16
3971,The Other Boleyn Girl,"Biography,Drama,History",2008,2000,115,6.7,Justin Chadwick,Natalie Portman, Scarlett Johansson, Eric Bana,26.81
3972,The Other Dream Team,"Documentary,Sport",2012,2010,89,8.4,Marius A. Markevicius,Tommy Sheppard,Greg Speirs,Mickey Hart,0.13
3973,The Other End of the Line,"Comedy,Drama,Romance",2008,2000,106,6.2,James Dodson,Larry Miller,Anupam Kher,Shriya Saran,0.12
3974,The Other Guys,"Action,Comedy,Crime",2010,2010,107,6.7,Adam McKay,Will Ferrell, Mark Wahlberg, Derek Jeter,119.22
3975,The Other Side of Heaven,"Adventure,Biography,Drama",2001,2000,113,6.5,Mitch Davis,Anne Hathaway,Nathaniel Lees,Miriama Smith,4.72
3976,The Other Sister,Drama,1999,1990,129,6.4,Garry Marshall,Juliette Lewis,Diane Keaton,Tom Skerritt,
3977,The Other Woman,"Comedy,Romance",2014,2010,109,6.0,Nick Cassavetes,Cameron Diaz, Leslie Mann, Kate Upton,83.91
3978,The Others,"Fantasy,Horror,Thriller",2001,2000,101,7.6,Alejandro Amenábar,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,96.47
3979,The Out-of-Towners,Comedy,1999,1990,90,5.3,Sam Weisman,Oliver Hudson,Valerie Perri,Carlease Burke,28.54
3980,The Outsiders,"Crime,Drama",1983,1980,114,7.2,Francis Ford Coppola,Tom Cruise,William Smith,Tom Waits,25.6
3981,The Oxford Murders,"Crime,Mystery,Thriller",2008,2000,104,6.1,Álex de la Iglesia,Jim Carter,Leonor Watling,Danny Sapani,0.0
3982,The Pacifier,"Action,Comedy,Drama,Family,Thriller",2005,2000,95,5.5,Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,113.01
3983,The Package,"Mystery,Suspense",1989,1980,108,6.4,Andrew Davis,Gene Hackman,Joanna Cassidy,Tommy Lee Jones,
3984,The Pact,Horror,2012,2010,89,5.8,Nicholas McCarthy,Caity Lotz,Jewel Staite,Casper Van Dien,
3985,The Painted Veil,"Drama,Romance",2006,2000,125,7.5,John Curran,Toby Jones,Sally Hawkins,Alan David,8.05
3986,The Passion of the Christ,Drama,2004,2000,120,7.1,Mel Gibson,Christo Jivkov,Maia Morgenstern,Hristo Shopov,0.5
3987,The Patriot,"Action,Drama,History,War",2000,2000,142,7.1,Roland Emmerich,Heath Ledger,Adam Baldwin,Tom Wilkinson,113.33
3988,The Peacemaker,"Action,Thriller",1997,1990,124,5.9,Mimi Leder,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,41.26
3989,The Peanuts Movie,"Adventure,Animation,Comedy,Family",2015,2010,88,7.2,Steve Martino,Francesca Capaldi,Venus Schultheis,Bill Melendez,130.17
3990,The Pelican Brief,"Crime,Drama,Mystery,Thriller",1993,1990,141,6.5,Alan J. Pakula,Denzel Washington,Julia Roberts,Tony Goldwyn,100.77
3991,The Perez Family,"Comedy,Drama,Romance",1995,1990,113,6.2,Mira Nair,Anjelica Huston,Chazz Palminteri,Vincent Gallo,2.83
3992,The Perfect Game,"Comedy,Drama,Family,Sport",2009,2000,118,7.0,William Dear,Clifton Collins Jr.,Cheech Marin,Bruce McGill,1.09
3993,The Perfect Host,"Comedy,Crime,Thriller",2010,2010,93,6.8,Nick Tomnay,David Hyde Pierce,Clayne Crawford,Nathaniel Parker,0.05
3994,The Perfect Man,"Comedy,Family,Romance",2005,2000,100,5.5,Mark Rosman,Ben Feldman,Chris Noth,Vanessa Lengies,16.25
3995,The Perfect Match,"Comedy,Romance",2016,2010,96,4.5,Bille Woodruff,Donald Faison,Brandy Norwood,Lauren London,9.66
3996,The Perfect Score,Drama,2004,2000,93,5.7,Brian Robbins,Erika Christensen,Scarlett Johansson,Chris Evans,
3997,The Perfect Storm,"Action,Adventure,Drama,Thriller",2000,2000,130,6.4,Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,182.62
3998,The Perks of Being a Wallflower,"Drama,Romance",2012,2010,102,8.0,Stephen Chbosky,Logan Lerman, Emma Watson, Ezra Miller,17.74
3999,The Phantom,"Action,Adventure,Comedy,Fantasy",1996,1990,100,4.9,Simon Wincer,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,17.3
4000,The Phantom of the Opera,"Drama,Musical,Romance,Thriller",2004,2000,143,7.4,Joel Schumacher,Gerard Butler,Minnie Driver,Miranda Richardson,51.23
4001,The Pianist,"Biography,Drama,War",2002,2000,150,8.5,Roman Polanski,Emilia Fox,Frank Finlay,Ed Stoppard,32.52
4002,The Piano,"Drama,Music,Romance",1993,1990,121,7.6,Jane Campion,Holly Hunter,Ian Mune,Geneviève Lemon,40.16
4003,The Pink Panther,"Adventure,Comedy,Crime,Family,Mystery",2006,2000,93,5.6,Shawn Levy,Roger Rees,Henry Czerny,William Abadie,82.23
4004,The Pirate,"Adventure,Comedy,Musical,Romance",1948,1920-1960,102,7.1,Vincente Minnelli,Gladys Cooper,Reginald Owen,Ellen Ross,2.96
4005,The Pirates Who Don't Do Anything: A VeggieTales Movie,"Adventure,Animation,Comedy,Family",2008,2000,85,5.7,Mike Nawrocki,Yuri Lowenthal,Cam Clarke,Phil Vischer,12.7
4006,The Pirates! Band of Misfits,"Adventure,Animation,Comedy,Family",2012,2010,88,6.7,Peter Lord,Salma Hayek,Russell Tovey,Brian Blessed,31.05
4007,The Pit and the Pendulum,Horror,1991,1990,97,6.1,Stuart Gordon,Lance Henriksen,Rona De Ricci,Jonathan Fuller,
4008,The Place Beyond the Pines,"Crime,Drama,Thriller",2012,2010,140,7.3,Derek Cianfrance,Ryan Gosling, Bradley Cooper, Eva Mendes,21.38
4009,The Players Club,"Comedy,Drama",1998,1990,104,5.6,Ice Cube,Bernie Mac,Monica Calhoun,Chrystale Wilson,23.03
4010,The Pledge,"Crime,Drama,Mystery,Thriller",2001,2000,124,6.8,Sean Penn,Costas Mandylor,Adrien Dorval,Nels Lennarson,19.72
4011,The Polar Express,"Adventure,Animation,Family,Fantasy",2004,2000,100,6.6,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,0.67
4012,The Portrait of a Lady,Drama,1996,1990,144,6.3,Jane Campion,Nicole Kidman,John Malkovich,Barbara Hershey,
4013,The Possession,"Horror,Thriller",2012,2010,92,5.9,Ole Bornedal,Kyra Sedgwick,Madison Davenport,Natasha Calis,49.12
4014,The Postman,"Action,Adventure,Drama,Sci-Fi",1997,1990,177,6.0,Kevin Costner,Olivia Williams,Brian Anthony Wilson,Larenz Tate,17.59
4015,The Postman Always Rings Twice,"Mystery,Suspense",1981,1980,122,6.6,Bob Rafelson,Jack Nicholson,Jessica Lange,John Colicos,
4016,The Prestige,"Drama,Mystery,Sci-Fi",2006,2000,130,8.5,Christopher Nolan,Christian Bale, Hugh Jackman, Scarlett Johansson,53.08
4017,The Prince and Me,"Comedy,Family,Romance",2004,2000,111,5.9,Martha Coolidge,Devin Ratray,Miranda Richardson,Luke Mably,28.17
4018,The Prince of Egypt,"Adventure,Animation,Biography,Drama,Family,Fantasy,Musical",1998,1990,99,7.0,Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel,101.22
4019,The Prince of Tides,"Drama,Romance",1991,1990,132,6.6,Barbra Streisand,George Carlin,Blythe Danner,Melinda Dillon,74.79
4020,The Princess Bride,"Adventure,Family,Fantasy,Romance",1987,1980,98,8.1,Rob Reiner,Robin Wright,Carol Kane,André the Giant,30.86
4021,The Princess Diaries,"Comedy,Family,Romance",2001,2000,111,6.2,Garry Marshall,Anne Hathaway,Hector Elizondo,Heather Matarazzo,108.24
4022,The Princess Diaries 2: Royal Engagement,"Comedy,Family,Romance",2004,2000,113,5.7,Garry Marshall,Anne Hathaway,Raven-Symoné,Hector Elizondo,95.15
4023,The Princess and the Cobbler,"Action,Adventure,Animation,Comedy,Fantasy",1993,1990,80,7.2,Richard Williams,Donald Pleasence,Kenneth Williams,Clive Revill,0.67
4024,The Princess and the Frog,"Animation,Adventure,Comedy",2009,2000,97,7.1,Ron Clements,Anika Noni Rose, Keith David, Oprah Winfrey,104.37
4025,The Principal,Drama,1987,1980,109,6.2,Christopher Cain,James Belushi,Michael Wright,Louis Gossett Jr,
4026,The Producers,"Comedy,Musical",2005,2000,134,6.4,Susan Stroman,Jon Lovitz,Will Ferrell,Matthew Broderick,19.38
4027,The Promise,"Action,Drama,Fantasy",2005,2000,103,5.6,Kaige Chen,Dong-gun Jang,Toby Leonard Moore,Nicholas Tse,0.67
4028,The Prophecy,"Action,Fantasy,Horror,Mystery,Thriller",1995,1990,98,6.6,Gregory Widen,Viggo Mortensen,Adam Goldberg,Virginia Madsen,16.12
4029,The Proposal,"Comedy,Drama,Romance",2009,2000,108,6.7,Anne Fletcher,Sandra Bullock, Ryan Reynolds, Mary Steenburgen,163.95
4030,The Proposition,"Crime,Drama,Western",2005,2000,104,7.4,John Hillcoat,Ray Winstone,Noah Taylor,Danny Huston,1.9
4031,The Protector,"Action,Crime,Drama,Thriller",2005,2000,111,7.1,Prachya Pinkaew,Jon Foo,Nathan Jones,Johnny Nguyen,11.91
4032,The Puffy Chair,"Comedy,Drama,Romance",2005,2000,85,6.6,Jay Duplass,Mark Duplass,Katie Aselton,Bari Hyman,0.19
4033,The Punisher,"Action,Crime,Drama,Thriller",2004,2000,140,6.5,Jonathan Hensleigh,Laura Harring,Marco St. John,Eddie Jemison,33.68
4034,The Purge,"Horror,Sci-Fi,Thriller",2013,2010,85,5.7,James DeMonaco,Ethan Hawke, Lena Headey, Max Burkholder,64.42
4035,The Purge: Anarchy,"Action,Horror,Sci-Fi,Thriller",2014,2010,103,6.5,James DeMonaco,Noel Gugliemi,Zach Gilford,Roberta Valderrama,71.52
4036,The Purge: Election Year,"Action,Horror,Sci-Fi",2016,2010,109,6.0,James DeMonaco,Frank Grillo, Elizabeth Mitchell, Mykelti Williamson,79.0
4037,The Pursuit of Happyness,"Biography,Drama",2006,2000,117,8.0,Gabriele Muccino,Will Smith, Thandie Newton, Jaden Smith,162.59
4038,The Queen,"Biography,Drama",2006,2000,94,7.3,Stephen Frears,Roger Allam,Sylvia Syms,Alex Jennings,56.44
4039,The Quick and the Dead,"Action,Thriller,Western",1995,1990,107,6.4,Sam Raimi,Leonardo DiCaprio,Pat Hingle,Roberts Blossom,18.64
4040,The Quiet,"Drama,Thriller",2005,2000,91,6.4,Jamie Babbit,Katy Mixon,David Gallagher,Edie Falco,0.38
4041,The Quiet American,"Drama,Mystery,Romance,Thriller,War",2002,2000,101,7.1,Phillip Noyce,Brendan Fraser,Tzi Ma,Holmes Osborne,12.99
4042,The R.M.,"Comedy,Crime,Family",2003,2000,101,6.0,Kurt Hale,Kirby Heyborne,Big Budah,Curt Doussett,1.11
4043,The Rage: Carrie 2,"Horror,Sci-Fi,Thriller",1999,1990,104,4.6,Katt Shea,Jason London,Rachel Blanchard,Eddie Kaye Thomas,17.76
4044,The Raid: Redemption,"Action,Crime,Thriller",2011,2010,102,7.6,Gareth Evans,Iko Uwais,Yayan Ruhian,Donny Alamsyah,4.11
4045,The Railway Man,"Biography,Drama,Romance,War",2013,2010,116,7.1,Jonathan Teplitzky,Jeremy Irvine,Colin Firth,Sam Reid,4.44
4046,The Rainmaker,"Crime,Drama,Thriller",1997,1990,135,7.1,Francis Ford Coppola,Matt Damon,Dean Stockwell,Virginia Madsen,45.86
4047,The Raven,"Crime,Mystery,Thriller",2012,2010,110,6.4,James McTeigue,Pam Ferris,Dave Legeno,Kevin McNally,16.01
4048,The Reader,"Drama,Romance",2008,2000,124,7.6,Stephen Daldry,Kate Winslet,David Kross,Susanne Lothar,34.18
4049,The Real Cancun,Documentary,2003,2000,96,2.7,Rick de Oliveira,Laura Ramsey,Alan Taylor,Benjamin Fletcher,3.71
4050,The Reaping,"Horror,Thriller",2007,2000,99,5.7,Stephen Hopkins,Stephen Rea,Andrea Frankle,William Ragsdale,25.12
4051,The Reckoning,Documentary,2004,2000,112,6.6,Pamela Yates,Paul Bettany,Willem Dafoe,Simon McBurney,
4052,The Recruit,"Mystery,Suspense",2003,2000,115,6.6,Roger Donaldson,Al Pacino,Colin Farrell,Bridget Moynahan,
4053,The Red Violin,"Drama,Music,Mystery,Romance",1998,1990,130,7.7,François Girard,Johannes Silberschneider,Clotilde Mollet,Carlo Cecchi,9.47
4054,The Reef,"Mystery,Suspense",2010,2010,94,5.8,Andrew Traucki,Damian Walshe-Howling,Zoe Naylor,Adrienne Pickering,
4055,The Relic,"Horror,Mystery,Sci-Fi,Thriller",1997,1990,110,5.7,Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,33.93
4056,The Remains of the Day,"Drama,Romance",1993,1990,134,7.9,James Ivory,Anthony Hopkins,Peter Vaughan,Ben Chaplin,22.95
4057,The Replacement Killers,"Action,Crime,Thriller",1998,1990,96,6.1,Antoine Fuqua,Mira Sorvino,Clifton Collins Jr.,Patrick Kilpatrick,18.97
4058,The Replacements,"Comedy,Sport",2000,2000,118,6.5,Howard Deutch,Keanu Reeves,Jon Favreau,Faizon Love,44.74
4059,The Return,"Drama,Mystery,Thriller",2003,2000,99,8.0,Andrey Zvyagintsev,Konstantin Lavronenko,Vladimir Garin,Nataliya Vdovina,0.5
4060,The Return of the Pink Panther,"Mystery,Suspense",1975,1970,113,7.1,Blake Edwards,Peter Sellers,Christopher Plummer,Catherine Schell,
4061,The Revenant,"Adventure,Drama,Thriller",2015,2010,156,8.0,Alejandro González Iñárritu,Leonardo DiCaprio, Tom Hardy, Will Poulter,183.64
4062,The Right Stuff,"Adventure,Drama,History",1983,1980,193,7.9,Philip Kaufman,Dennis Quaid,Scott Glenn,Sam Shepard,21.5
4063,The Ring Two,"Horror,Mystery",2005,2000,128,5.4,Hideo Nakata,Naomi Watts,Gary Cole,Sissy Spacek,75.89
4064,The Rise of the Krays,"Crime,Drama",2015,2010,110,5.1,Zackary Adler,Matt Vael, Simon Cotton, Kevin Leslie,6.53
4065,The Rite,"Drama,Horror,Mystery,Thriller",2011,2010,114,6.0,Mikael Håfström,Anthony Hopkins,Colin O'Donoghue,Toby Jones,33.04
4066,The Ritz,"ArtHouse,International",1976,1970,91,7.8,Richard Lester,Jack Weston,Rita Moreno,Jerry Stiller,
4067,The River Wild,"Action,Adventure,Crime,Thriller",1994,1990,111,6.3,Curtis Hanson,Meryl Streep,Glenn Morshower,William Lucking,46.82
4068,The Road,"Adventure,Drama",2009,2000,111,7.3,John Hillcoat,Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee,0.06
4069,The Road to El Dorado,"Adventure,Animation,Comedy,Family,Romance",2000,2000,89,6.9,Bibo Bergeron,Frank Welker,Rosie Perez,Elton John,50.8
4070,The Robe,"Drama,History",1953,1920-1960,135,6.8,Henry Koster,Richard Burton,Jean Simmons,Victor Mature,36.0
4071,The Rock,"Action,Adventure,Thriller",1996,1990,136,7.4,Michael Bay,Nicolas Cage,Michael Biehn,Bokeem Woodbine,134.01
4072,The Rocker,"Comedy,Music",2008,2000,102,6.2,Peter Cattaneo,Emma Stone,Bradley Cooper,Josh Gad,6.41
4073,The Rookie,"Drama,Family,Sport",2002,2000,127,7.0,John Lee Hancock,Dennis Quaid,Jay Hernandez,Angus T. Jones,75.6
4074,The Room,Drama,2003,2000,99,3.5,Tommy Wiseau,Tommy Wiseau,Juliette Danielle,Greg Sestero,
4075,The Roommate,"Drama,Horror,Thriller",2011,2010,91,4.8,Christian E. Christiansen,Leighton Meester,Danneel Ackles,Frances Fisher,37.3
4076,The Rose,"Drama,Music,Romance",1979,1970,125,6.9,Mark Rydell,David Keith,Frederic Forrest,Alan Bates,29.2
4077,The Royal Tenenbaums,"Comedy,Drama",2001,2000,110,7.6,Wes Anderson,Bill Murray,Anjelica Huston,Seymour Cassel,52.35
4078,The Rugrats Movie,"Adventure,Animation,Comedy,Drama,Family,Musical",1998,1990,83,5.9,Igor Kovalyov,Elizabeth Daily,Cree Summer,Christine Cavanaugh,100.49
4079,The Ruins,Horror,2008,2000,93,5.9,Carter Smith,Laura Ramsey,Jonathan Tucker,Sergio Calderón,17.43
4080,The Rules of Attraction,"Comedy,Drama,Romance",2002,2000,110,6.7,Roger Avary,Ian Somerhalder,Faye Dunaway,Clifton Collins Jr.,6.53
4081,The Runaways,"Biography,Drama,Music",2010,2010,106,6.6,Floria Sigismondi,Kristen Stewart,Scout Taylor-Compton,Johnny Lewis,3.57
4082,The Rundown,"Action,Adventure,Comedy,Thriller",2003,2000,104,6.7,Peter Berg,Dwayne Johnson,Rosario Dawson,Ewen Bremner,47.59
4083,The Running Man,"Action,Crime,Sci-Fi,Thriller",1987,1980,101,6.6,Paul Michael Glaser,Yaphet Kotto,Maria Conchita Alonso,Richard Dawson,38.12
4084,The Saddest Music in the World,Drama,2004,2000,100,7.2,Guy Maddin,Isabella Rossellini,Mark McKinney,Maria de Medeiros,
4085,The Safety of Objects,"Mystery,Suspense",2001,2000,121,6.6,Rose Troche,Glenn Close,Dermot Mulroney,Jessica Campbell,
4086,The Saint,"Action,Adventure,Romance,Sci-Fi,Thriller",1997,1990,116,6.2,Phillip Noyce,Alun Armstrong,Michael Byrne,Velibor Topic,61.36
4087,The Salon,"Comedy,Drama",2005,2000,90,4.3,Mark Brown,Vivica A. Fox,Monica Calhoun,Garrett Morris,0.09
