,title,genre,year,decade,runtime,rating,director,actor1,actor2,actor3,gross
2596,Pearl Harbor,"Action,Drama,History,Romance,War",2001,2000,184,6.1,Michael Bay,Jennifer Garner,Jaime King,Mako,198.54
2597,Peeples,"Comedy,Romance",2013,2010,95,5.3,Tina Gordon Chism,Tyler James Williams,S. Epatha Merkerson,Diahann Carroll,9.12
2598,Peggy Sue Got Married,"Comedy,Drama,Fantasy,Romance",1986,1980,103,6.3,Francis Ford Coppola,Nicolas Cage,Kathleen Turner,Joan Allen,41.38
2599,Penguins of Madagascar,"Adventure,Animation,Comedy,Family",2014,2010,92,6.7,Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,83.35
2600,People I Know,"Crime,Drama,Mystery",2002,2000,100,5.5,Daniel Algrant,Al Pacino,Richard Schiff,Mark Webber,0.12
2601,Percy Jackson & the Olympians: The Lightning Thief,"Adventure,Family,Fantasy",2010,2010,118,5.9,Chris Columbus,Logan Lerman, Kevin McKidd, Steve Coogan,88.76
2602,Percy Jackson: Sea of Monsters,"Adventure,Family,Fantasy",2013,2010,106,5.9,Thor Freudenthal,Logan Lerman, Alexandra Daddario, Brandon T. Jackson,68.56
2603,Perfume: The Story of a Murderer,"Crime,Drama,Fantasy",2006,2000,147,7.5,Tom Tykwer,Ben Whishaw, Dustin Hoffman, Alan Rickman,2.21
2604,Perrier's Bounty,"Action,Comedy,Crime,Drama,Romance,Thriller",2009,2000,88,6.4,Ian Fitzgibbon,Jim Broadbent,Brendan Coyle,Michael McElhatton,0.0
2605,Persepolis,"Animation,Biography,Drama,War",2007,2000,89,8.0,Vincent Paronnaud,Catherine Deneuve,Gena Rowlands,Danielle Darrieux,4.44
2606,Personal Shopper,"Drama,Mystery,Thriller",2016,2010,105,6.3,Olivier Assayas,Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,1.29
2607,Pet Sematary,"Fantasy,Horror",1989,1980,103,6.6,Mary Lambert,Miko Hughes,Fred Gwynne,Denise Crosby,57.47
2608,Pete Seeger: The Power of Song,Documentary,2007,2000,93,8.4,Jim Brown,Pete  Seeger,Bruce Springsteen,Natalie Maines,
2609,Pete's Dragon,"Adventure,Family,Fantasy",2016,2010,102,6.8,David Lowery,Bryce Dallas Howard, Robert Redford, Oakes Fegley,76.2
2610,Phantasm II,"Action,Fantasy,Horror,Sci-Fi,Thriller",1988,1980,97,6.5,Don Coscarelli,Angus Scrimm,A. Michael Baldwin,James Le Gros,7.28
2611,Phantom of the Paradise,Horror,1974,1970,92,7.4,Brian DePalma,William Finley,Paul Williams,Jessica Harper,
2612,Phat Girlz,Comedy,2006,2000,99,3.0,Nnegest Likké,Mo'Nique,Jimmy Jean-Louis,Joyful Drake,7.06
2613,Phenomenon,"Drama,Fantasy,Romance,Sci-Fi",1996,1990,123,6.4,Jon Turteltaub,Robert Duvall,Kyra Sedgwick,David Gallagher,104.63
2614,Phil Ochs: There But For Fortune,"Musical,PerformingArts",2011,2010,96,7.6,Kenneth Bowser,Phil Ochs,Joan Baez,Tom Hayden,
2615,Philadelphia,Drama,1993,1990,125,7.7,Jonathan Demme,Denzel Washington,Tom Hanks,Jason Robards,77.32
2616,Philomena,"Biography,Drama",2013,2010,98,7.6,Stephen Frears,Steve Coogan,Mare Winningham,Peter Hermann,37.71
2617,Phone Booth,"Crime,Thriller",2002,2000,81,7.1,Joel Schumacher,Radha Mitchell,John Enos III,Richard T. Jones,46.56
2618,Pi,"Drama,Mystery,Thriller",1998,1990,84,7.5,Darren Aronofsky,Mark Margolis,Clint Mansell,Stanley B. Herman,3.22
2619,Pieces of April,"Comedy,Drama",2003,2000,80,7.1,Peter Hedges,Oliver Platt,Adrian Martinez,Derek Luke,2.36
2620,Pina,"Musical,PerformingArts",2011,2010,103,7.7,Wim Wenders,Pina Bausch,Regina Advento,Malou Airaudo,
2621,Pineapple Express,"Action,Comedy,Crime",2008,2000,111,7.0,David Gordon Green,Seth Rogen, James Franco, Gary Cole,87.34
2622,Pink Flamingos,"Comedy,Crime,Horror",1972,1970,108,6.1,John Waters,Divine,Mink Stole,Edith Massey,0.18
2623,Pinocchio,"Animation,Family,Fantasy,Musical",1940,1920-1960,88,7.5,Norman Ferguson,Mel Blanc,Dickie Jones,Cliff Edwards,84.3
2624,Piranha 3D,"Comedy,Horror,Thriller",2010,2010,88,5.5,Alexandre Aja,Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss,25.0
2625,Pirate Radio,"Comedy,Drama,Music",2009,2000,135,7.4,Richard Curtis,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,7.99
2626,Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",2007,2000,169,7.1,Gore Verbinski,Johnny Depp, Orlando Bloom, Keira Knightley,309.4
2627,Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy",2006,2000,151,7.3,Gore Verbinski,Johnny Depp, Orlando Bloom, Keira Knightley,423.03
2628,Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",2011,2010,136,6.7,Rob Marshall,Johnny Depp, Penélope Cruz, Ian McShane,241.06
2629,Pirates of the Caribbean: The Curse of the Black Pearl,"Action,Adventure,Fantasy",2003,2000,143,8.1,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,305.39
2630,Pitch Black,"Horror,Sci-Fi",2000,2000,112,7.1,David Twohy,Vin Diesel,Radha Mitchell,Cole Hauser,39.24
2631,Pitch Perfect,"Comedy,Music,Romance",2012,2010,112,7.2,Jason Moore,Anna Kendrick, Brittany Snow, Rebel Wilson,65.0
2632,Pitch Perfect 2,"Comedy,Music",2015,2010,115,6.5,Elizabeth Banks,Anna Kendrick, Rebel Wilson, Hailee Steinfeld,183.44
2633,Pixels,"Action,Comedy,Family",2015,2010,105,5.6,Chris Columbus,Adam Sandler, Kevin James, Michelle Monaghan,78.75
